trial_id,deadzone_px,target_size,target_speed,target_distance,success,time_to_lock,hit_ratio
504,4,0.4,5,8,0,10.0,0.0
505,2,0.6,5,8,0,10.0,0.0
506,4,0.6,5,8,0,10.0,0.0
507,2,0.8,5,8,0,10.0,0.0
508,4,0.8,5,8,0,10.0,0.0
509,2,1.0,5,8,0,10.0,0.0
510,4,1.0,5,8,0,10.0,0.0
511,2,0.2,10,8,0,10.0,0.0
512,4,0.2,10,8,0,10.0,0.0
513,2,0.4,10,8,0,10.0,0.0
514,4,0.4,10,8,0,10.0,0.0
515,2,0.6,10,8,0,10.0,0.0
516,4,0.6,10,8,0,10.0,0.0
517,2,0.8,10,8,0,10.0,0.0
518,4,0.8,10,8,0,10.0,0.0
519,2,1.0,10,8,0,10.0,0.0
520,4,1.0,10,8,0,10.0,0.0
521,2,0.2,20,8,0,10.0,0.0
522,4,0.2,20,8,0,10.0,0.0
523,2,0.4,20,8,0,10.0,0.0
524,4,0.4,20,8,0,10.0,0.0
525,2,0.6,20,8,0,10.0,0.0
526,4,0.6,20,8,0,10.0,0.0
527,2,0.8,20,8,0,10.0,0.0
528,4,0.8,20,8,0,10.0,0.0
529,2,1.0,20,8,0,10.0,0.0
530,4,1.0,20,8,0,10.0,0.0
531,2,0.2,40,8,0,10.0,0.0
532,4,0.2,40,8,0,10.0,0.0
533,2,0.4,40,8,0,10.0,0.0
534,4,0.4,40,8,0,10.0,0.0
535,2,0.6,40,8,0,10.0,0.0
536,4,0.6,40,8,0,10.0,0.0
537,2,0.8,40,8,0,10.0,0.0
538,4,0.8,40,8,0,10.0,0.0
539,2,1.0,40,8,0,10.0,0.0
540,4,1.0,40,8,0,10.0,0.0
541,2,0.2,60,8,0,10.0,0.0
542,4,0.2,60,8,0,10.0,0.0
543,2,0.4,60,8,0,10.0,0.0
544,4,0.4,60,8,0,10.0,0.0
545,2,0.6,60,8,0,10.0,0.0
546,4,0.6,60,8,0,10.0,0.0
547,2,0.8,60,8,0,10.0,0.0
548,4,0.8,60,8,0,10.0,0.0
549,2,1.0,60,8,0,10.0,0.0
550,4,1.0,60,8,0,10.0,0.0
551,2,0.2,80,8,0,10.0,0.0
552,4,0.2,80,8,0,10.0,0.0
553,2,0.4,80,8,0,10.0,0.0
554,4,0.4,80,8,0,10.0,0.0
555,2,0.6,80,8,0,10.0,0.0
556,4,0.6,80,8,0,10.0,0.0
557,2,0.8,80,8,0,10.0,0.0
558,4,0.8,80,8,0,10.0,0.0
559,2,1.0,80,8,0,10.0,0.0
560,4,1.0,80,8,0,10.0,0.0
561,2,0.2,3,10,0,10.0,0.0
562,4,0.2,3,10,0,10.0,0.0
563,2,0.4,3,10,0,10.0,0.0
564,4,0.4,3,10,0,10.0,0.0
565,2,0.6,3,10,0,10.0,0.0
566,4,0.6,3,10,0,10.0,0.0
567,2,0.8,3,10,0,10.0,0.0
568,4,0.8,3,10,0,10.0,0.0
569,2,1.0,3,10,0,10.0,0.0
570,4,1.0,3,10,0,10.0,0.0
571,2,0.2,5,10,0,10.0,0.0
572,4,0.2,5,10,0,10.0,0.0
573,2,0.4,5,10,0,10.0,0.0
574,4,0.4,5,10,0,10.0,0.0
575,2,0.6,5,10,0,10.0,0.0
576,4,0.6,5,10,0,10.0,0.0
577,2,0.8,5,10,0,10.0,0.0
578,4,0.8,5,10,0,10.0,0.0
579,2,1.0,5,10,0,10.0,0.0
580,4,1.0,5,10,0,10.0,0.0
581,2,0.2,10,10,0,10.0,0.0
582,4,0.2,10,10,0,10.0,0.0
583,2,0.4,10,10,0,10.0,0.0
584,4,0.4,10,10,0,10.0,0.0
585,2,0.6,10,10,0,10.0,0.0
586,4,0.6,10,10,0,10.0,0.0
587,2,0.8,10,10,0,10.0,0.0
588,4,0.8,10,10,0,10.0,0.0
589,2,1.0,10,10,0,10.0,0.0
590,4,1.0,10,10,0,10.0,0.0
591,2,0.2,20,10,0,10.0,0.0
592,4,0.2,20,10,0,10.0,0.0
593,2,0.4,20,10,0,10.0,0.0
594,4,0.4,20,10,0,10.0,0.0
595,2,0.6,20,10,0,10.0,0.0
596,4,0.6,20,10,0,10.0,0.0
597,2,0.8,20,10,0,10.0,0.0
598,4,0.8,20,10,0,10.0,0.0
599,2,1.0,20,10,0,10.0,0.0
600,4,1.0,20,10,0,10.0,0.0
601,2,0.2,40,10,0,10.0,0.0
